bee,X15,X16,X17,X18,X1,X2,X3,X4,X5,X6,X7,X8,X19,X20,X21,X22,pvals
Age (days),1,1,1,1,1,8,1,11,9,10,13,8,1,1,1,1,
Age (days),1,1,1,1,1,8,1,11,9,10,13,8,1,1,1,1,
Sample event,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
Abbreviation,M,M,M,M,VQ,VQ,VQ,VQ,VQ,VQ,VQ,VQ,W,W,W,W,
Age (days),1,1,1,1,1,8,1,11,9,10,13,8,1,1,1,1,
Age (days),1,1,1,1,1,8,1,11,9,10,13,8,1,1,1,1,
New label,M (1),M (1),M (1),M (1),VQ (1),VQ (8),VQ (1),VQ (11),VQ (9),VQ (10),VQ (13),VQ (8),W (1),W (1),W (1),W (1),
analysis,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,
1,False,False,False,False,True,True,True,True,True,False,True,True,True,False,False,True,0.0011768659106248247
2,False,True,False,False,True,True,False,True,False,False,False,False,False,False,False,True,0.58621368107314
3,False,False,True,False,True,True,True,False,True,False,True,False,False,False,False,True,0.10247043485974938
5,False,False,False,True,True,True,True,True,False,False,False,False,True,False,True,False,0.6114529869535041
6,False,False,False,False,True,False,False,True,True,False,False,False,False,False,False,True,0.2277999939882287
7,False,True,True,False,True,False,True,True,False,False,False,True,False,False,True,False,0.6114529869535041
8,False,False,True,True,True,True,True,True,False,False,True,False,True,False,True,False,0.6114529869535041
9,False,False,True,False,True,True,True,True,False,False,False,False,False,False,True,False,0.28504940740261286
10,True,False,True,False,True,True,True,True,True,False,False,False,True,False,True,False,0.6114529869535041
11,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,
12,True,True,True,False,True,True,True,True,True,True,True,False,False,False,True,False,0.07684324403365639
13,True,True,False,True,True,True,False,False,True,True,True,True,False,False,True,False,0.28504940740261286
14,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,
15,True,False,False,True,True,False,True,True,True,False,False,False,True,False,False,False,0.6114529869535041
16,True,True,False,True,True,True,False,False,False,False,True,False,False,False,False,True,0.6114529869535041
18,False,False,False,True,True,True,False,False,False,True,True,False,False,False,False,False,0.07684324403365639
19,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,1.0
20,False,False,False,True,True,True,True,False,True,True,False,True,False,False,False,False,0.0011768659106248247
21,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,0.1024704348597496
23,False,False,False,False,True,False,False,True,False,True,False,False,True,False,False,True,0.58621368107314
24,False,False,False,False,True,False,False,False,False,True,False,False,True,False,True,False,1.0
25,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,1.0
27,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.28504940740261286
28,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0.28504940740261286
29,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,0.5164122683960384
30,True,True,True,False,True,True,True,True,False,True,False,False,False,False,True,False,0.6114529869535041
31,True,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,0.22779999398822914
32,True,False,False,False,False,False,False,True,False,False,True,False,True,False,True,False,0.58621368107314
33,True,True,False,True,False,False,False,True,True,True,False,False,False,False,True,False,0.6114529869535041
34,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,
35,True,False,False,False,True,True,True,True,True,False,True,False,False,False,False,True,0.020921335337793945
36,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,0.1024704348597496
38,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,0.10247043485974916
39,False,False,True,True,True,True,False,True,True,False,True,False,True,False,False,True,0.6114529869535041
40,False,True,True,True,True,False,True,False,False,False,False,False,True,False,True,True,0.020921335337793945
41,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,0.2850494074026124
42,False,False,False,False,True,False,True,True,False,True,False,False,False,False,False,False,0.004677734981047177
43,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,0.2850494074026124
44,True,True,True,False,True,True,True,True,True,True,True,False,False,False,True,False,0.07684324403365639
45,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,
46,False,False,False,True,True,False,False,False,False,False,True,False,False,False,False,True,1.0
47,False,True,False,False,True,False,False,True,True,False,False,False,True,False,False,False,0.58621368107314
50,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,0.5164122683960384
52,False,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,0.5164122683960384
53,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0.28504940740261286
55,True,True,True,False,False,False,False,True,True,False,False,False,False,False,True,False,0.28504940740261286
56,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,0.2850494074026124
57,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,0.1024704348597496
58,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,0.1024704348597496
59,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,0.1024704348597496
60,True,True,True,True,False,True,False,True,True,True,True,False,True,False,False,True,0.58621368107314
61,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,
62,True,False,False,True,True,False,False,False,False,False,True,False,False,False,False,False,1.0
63,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,0.1024704348597496
65,False,False,False,False,False,True,False,True,False,False,True,False,True,False,False,False,0.2277999939882287
66,True,True,True,True,False,True,False,False,True,False,False,False,False,False,False,True,0.10247043485974938
67,False,False,False,False,False,False,False,True,True,False,True,False,True,False,True,False,0.58621368107314
68,True,True,True,True,True,False,True,False,False,False,False,False,True,False,True,True,0.0011768659106248247
69,False,False,False,False,True,False,True,False,False,False,False,False,True,False,True,False,1.0
70,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,1.0
71,False,True,True,False,True,True,True,True,True,True,True,False,False,False,False,True,0.01586133273977297
72,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,0.5164122683960384
74,False,True,True,True,True,True,True,True,True,False,True,False,False,False,False,True,0.28504940740261286
75,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,0.1024704348597496
76,False,False,False,False,True,True,True,True,False,False,False,False,False,False,False,False,0.004677734981047177
77,False,True,False,True,True,True,True,True,True,False,False,False,False,False,False,False,0.10247043485974938
